año,sector_ciiu,n_empresas,indice_clima_prom,pct_ventas_subio
2020,AGRICULTURA/MINERIA,404,0.1807,0.198
2020,COMERCIO,443,0.1253,0.1422
2020,CONSTRUCCION,400,0.1775,0.1925
2020,INDUSTRIAS,545,0.2128,0.244
2020,OTROS SERVICIOS,429,0.1702,0.1888
2021,1,1,1.0,1.0
2021,70,1,0.0,0.0
2021,100,0,,
2021,202,0,,
2021,681,0,,
2021,816,0,,
2021,1011,1,0.0,0.0
2021,1020,1,1.0,1.0
2021,1030,0,,
2021,1040,0,,
2021,1051,0,,
2021,1081,2,1.0,1.0
2021,1083,0,,
2021,1084,2,1.0,1.0
2021,1089,5,1.0,1.0
2021,1090,2,0.5,0.5
2021,1101,0,,
2021,1103,0,,
2021,1104,1,1.0,1.0
2021,1111,0,,
2021,1122,1,0.0,0.0
2021,1311,2,1.0,1.0
2021,1312,0,,
2021,1321,0,,
2021,1388,0,,
2021,1392,0,,
2021,1393,1,1.0,1.0
2021,1399,0,,
2021,1410,18,0.8889,0.8889
2021,1420,0,,
2021,1429,0,,
2021,1431,1,1.0,1.0
2021,1432,1,1.0,1.0
2021,1434,1,1.0,1.0
2021,1511,0,,
2021,1512,1,1.0,1.0
2021,1513,0,,
2021,1521,2,1.0,1.0
2021,1522,1,1.0,1.0
2021,1523,1,1.0,1.0
2021,1630,1,1.0,1.0
2021,1701,1,1.0,1.0
2021,1702,0,,
2021,1811,4,1.0,1.0
2021,1812,1,1.0,1.0
2021,1910,1,1.0,1.0
2021,1921,1,1.0,1.0
2021,2011,1,1.0,1.0
2021,2012,0,,
2021,2013,1,1.0,1.0
2021,2021,0,,
2021,2022,0,,
2021,2023,1,1.0,1.0
2021,2029,0,,
2021,2080,1,1.0,1.0
2021,2100,0,,
2021,2221,4,0.5,0.5
2021,2229,6,0.6667,0.6667
2021,2256,1,1.0,1.0
2021,2260,0,,
2021,2310,1,1.0,1.0
2021,2392,0,,
2021,2396,0,,
2021,2410,1,1.0,1.0
2021,2431,0,,
2021,2432,1,1.0,1.0
2021,2472,1,1.0,1.0
2021,2511,6,1.0,1.0
2021,2512,1,1.0,1.0
2021,2592,0,,
2021,2593,0,,
2021,2599,2,1.0,1.0
2021,2640,0,,
2021,2670,0,,
