año,sector_ciiu,tamanio_empresa,num_empleados,localidad,ventas_comportamiento,ventas_expectativa,credito_solicito,credito_obtuvo,inversion_realizo,inversion_expectativa,tamanio_cat,ventas_num,ventas_cat,ventas_positivo,credito_num,credito_positivo,inversion_num,inversion_positivo,indice_clima_sin_inversion,indice_clima
2020,AGRICULTURA/MINERIA,,2.0,,1.0,990.0,2.0,,3.0,2.0,,1.0,Aumentó,1.0,,,3.0,0.0,1.0,1.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,990.0,1.0,8.0,990.0,4.0,,0.0,,0.0,8.0,0.0,990.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,1.0,,0.0,1.0,2.0,,2.0,2.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,1.0,2.0,,990.0,4.0,,0.0,,0.0,,,990.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,2.0,1.0,8.0,2.0,2.0,,0.0,,0.0,8.0,0.0,2.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,1.0,1.0,8.0,3.0,2.0,,0.0,,0.0,8.0,0.0,3.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,990.0,2.0,,2.0,2.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,1.0,2.0,,,,,0.0,,0.0,,,,,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,1.0,2.0,,2.0,3.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,990.0,2.0,,990.0,4.0,,0.0,,0.0,,,990.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,1.0,,0.0,990.0,2.0,,2.0,4.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,,2.0,,3.0,2.0,,0.0,,0.0,,,3.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,1.0,2.0,,,,,0.0,,0.0,,,,,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,,2.0,,2.0,3.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,990.0,1.0,5.0,1.0,2.0,,0.0,,0.0,5.0,0.0,1.0,1.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,990.0,2.0,,,,,0.0,,0.0,,,,,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,1.0,1.0,10.0,3.0,2.0,,0.0,,0.0,10.0,0.0,3.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,1.0,1.0,6.0,2.0,2.0,,0.0,,0.0,6.0,0.0,2.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,4.0,2.0,,3.0,2.0,,0.0,,0.0,,,3.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,1.0,,0.0,,2.0,,2.0,2.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,1.0,1.0,2.0,,3.0,2.0,,1.0,Aumentó,1.0,,,3.0,0.0,1.0,1.0
2020,INDUSTRIAS,,1.0,,0.0,1.0,1.0,8.0,3.0,2.0,,0.0,,0.0,8.0,0.0,3.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,1.0,1.0,2.0,,3.0,3.0,,1.0,Aumentó,1.0,,,3.0,0.0,1.0,1.0
2020,INDUSTRIAS,,2.0,,0.0,1.0,1.0,8.0,3.0,3.0,,0.0,,0.0,8.0,0.0,3.0,0.0,0.0,0.0
2020,INDUSTRIAS,,2.0,,1.0,2.0,1.0,4.0,1.0,2.0,,1.0,Aumentó,1.0,4.0,0.0,1.0,1.0,0.5,0.5
2020,INDUSTRIAS,,1.0,,1.0,2.0,2.0,,2.0,2.0,,1.0,Aumentó,1.0,,,2.0,0.0,1.0,1.0
2020,INDUSTRIAS,,1.0,,0.0,1.0,2.0,,2.0,2.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,1.0,,1.0,1.0,1.0,5.0,2.0,3.0,,1.0,Aumentó,1.0,5.0,0.0,2.0,0.0,0.5,0.5
2020,INDUSTRIAS,,2.0,,1.0,2.0,2.0,,2.0,3.0,,1.0,Aumentó,1.0,,,2.0,0.0,1.0,1.0
2020,INDUSTRIAS,,1.0,,0.0,1.0,2.0,,3.0,4.0,,0.0,,0.0,,,3.0,0.0,0.0,0.0
2020,INDUSTRIAS,,2.0,,0.0,1.0,2.0,,3.0,2.0,,0.0,,0.0,,,3.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,0.0,1.0,2.0,,3.0,2.0,,0.0,,0.0,,,3.0,0.0,0.0,0.0
2020,INDUSTRIAS,,2.0,,0.0,1.0,2.0,,3.0,2.0,,0.0,,0.0,,,3.0,0.0,0.0,0.0
2020,INDUSTRIAS,,2.0,,0.0,1.0,2.0,,2.0,4.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,0.0,1.0,1.0,10.0,3.0,3.0,,0.0,,0.0,10.0,0.0,3.0,0.0,0.0,0.0
2020,AGRICULTURA/MINERIA,,2.0,,0.0,,1.0,8.0,1.0,2.0,,0.0,,0.0,8.0,0.0,1.0,1.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,1.0,1.0,2.0,,2.0,2.0,,1.0,Aumentó,1.0,,,2.0,0.0,1.0,1.0
2020,INDUSTRIAS,,1.0,,1.0,2.0,2.0,,2.0,2.0,,1.0,Aumentó,1.0,,,2.0,0.0,1.0,1.0
2020,INDUSTRIAS,,2.0,,0.0,1.0,1.0,10.0,990.0,3.0,,0.0,,0.0,10.0,0.0,990.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,1.0,2.0,1.0,5.0,2.0,2.0,,1.0,Aumentó,1.0,5.0,0.0,2.0,0.0,0.5,0.5
2020,INDUSTRIAS,,1.0,,0.0,1.0,2.0,,2.0,3.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,0.0,1.0,2.0,,2.0,3.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,0.0,,2.0,,3.0,2.0,,0.0,,0.0,,,3.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,0.0,2.0,2.0,,2.0,2.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0
2020,INDUSTRIAS,,1.0,,0.0,1.0,1.0,8.0,1.0,2.0,,0.0,,0.0,8.0,0.0,1.0,1.0,0.0,0.0
