año,localidad,n_propietarios,n_formales,tasa_victima_general,tasa_victima_comercio,tasa_extorsion,percepcion_barrio_prom,inseguridad_percibida,brecha_percepcion
2024,1.0,227.0,182.0,0.1498,0.0176,0.0132,2.3392,4.0154,0.7093
2024,2.0,90.0,76.0,0.1222,0.0,0.0111,2.7778,3.7444,1.0444
2024,3.0,98.0,81.0,0.1224,0.0306,0.0102,2.2449,4.0459,0.5816
2024,4.0,201.0,138.0,0.209,0.0547,0.0299,2.1791,4.1294,0.6169
2024,5.0,159.0,98.0,0.2138,0.0629,0.0314,2.3522,4.0189,0.7421
2024,6.0,239.0,181.0,0.2134,0.0879,0.0293,2.3249,4.1506,0.9492
2024,7.0,287.0,210.0,0.223,0.0871,0.0279,2.1498,4.0627,0.4251
2024,8.0,215.0,164.0,0.2093,0.0372,0.0326,2.307,4.0488,0.7116
2024,9.0,138.0,111.0,0.1957,0.0072,0.0145,2.6934,3.7391,0.8759
2024,10.0,198.0,159.0,0.2172,0.0606,0.0253,2.1061,4.1263,0.4646
2024,11.0,273.0,220.0,0.2308,0.0366,0.033,2.4762,3.9396,0.8315
2024,12.0,228.0,190.0,0.25,0.0395,0.0219,2.3465,4.0417,0.7763
2024,13.0,137.0,106.0,0.2263,0.0438,0.0073,2.8394,3.6241,0.927
2024,14.0,203.0,179.0,0.1675,0.0443,0.0049,2.1675,4.0887,0.5123
2024,15.0,233.0,175.0,0.176,0.0343,0.0129,2.1674,4.1845,0.71
2024,16.0,146.0,121.0,0.1986,0.0342,0.0205,2.4178,3.9589,0.7534
2024,17.0,173.0,100.0,0.1792,0.0231,0.0173,2.711,3.659,0.7399
2024,18.0,90.0,65.0,0.1778,0.0222,0.0333,2.3146,3.95,0.5056
2024,19.0,90.0,59.0,0.1889,0.0556,0.0556,2.0556,4.1778,0.4667
2025,1. Usaquén,133.0,101.0,0.2857,0.0,0.0,3.3158,3.3722,1.3759
2025,10. Engativá,223.0,178.0,0.1973,0.0,0.0,2.8924,3.5067,0.7982
2025,11. Suba,191.0,152.0,0.1414,0.0,0.0,2.8482,3.5785,0.8534
2025,12. Barrios Unidos,157.0,132.0,0.2357,0.0,0.0,2.7962,3.6529,0.8981
2025,13. Teusaquillo,104.0,93.0,0.2692,0.0,0.0,3.375,3.3798,1.5096
2025,14. Los Mártires,132.0,98.0,0.1818,0.0,0.0,2.553,3.75,0.6061
2025,15. Antonio Nariño,163.0,128.0,0.2393,0.0,0.0,2.8589,3.6534,1.0245
2025,16. Puente Aranda,193.0,148.0,0.2332,0.0,0.0,2.8808,3.6269,1.0155
2025,17. La Candelaria,148.0,123.0,0.2365,0.0,0.0,2.9257,3.4595,0.7703
2025,18. Rafael Uribe Uribe,165.0,113.0,0.1273,0.0,0.0,2.6848,3.7121,0.7939
2025,19. Ciudad Bolívar,109.0,68.0,0.156,0.0,0.0,2.9174,3.5,0.8349
2025,2. Chapinero,109.0,84.0,0.2569,0.0,0.0,3.3211,3.2844,1.211
2025,20. Sumapaz,9.0,3.0,0.2222,0.0,0.0,4.0,3.0556,2.1111
2025,3. Santa Fe,149.0,101.0,0.2416,0.0,0.0,2.651,3.6812,0.6644
2025,4. San Cristóbal,152.0,96.0,0.1382,0.0,0.0,2.9342,3.4901,0.8487
2025,5. Usme,155.0,89.0,0.1677,0.0,0.0,2.7677,3.7548,1.0452
2025,6. Tunjuelito,221.0,148.0,0.1765,0.0,0.0,2.6199,3.7557,0.7511
2025,7. Bosa,195.0,121.0,0.1744,0.0,0.0,2.6821,3.7538,0.8718
2025,8. Kennedy,218.0,174.0,0.1743,0.0,0.0,2.6835,3.6674,0.7018
2025,9. Fontibón,141.0,102.0,0.2057,0.0,0.0,3.2695,3.4007,1.3404
