Id_Encuesta,Id_Encuestado,COD_CIIU,SECTOR,TAMANO,F1,F2,F3,P1,P2,P3A,P3B,P3C,P3D,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_OTRO,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P5_OTRO,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_OTRO,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_OTRO,P8,P9,P10A,P10B,P10C,P10D,P10E,P10F,P10G,P10H,P10I,P10J,P10K,P10L,P11B,P11C,P11D,P11E,P11F,P11G,P11H,P11I,P11J,P11K,P11L,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P12_8,P12_9,P12_10,P12_11,P12_OTRO,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P13_8,P13_9,P13_10,P13_OTRO,P14_1,P14_2,P14_3,P14_4,P14_5,P14_6,P14_7,P14_8,P14_9,P14_10,P14_11,P14_12,P14_OTRO,P15_1,P15_2,P15_3,P15_4,P15_5,P15_6,P15_7,P15_OTRO,P16,P17,P18_1,P18_2,P18_3,P18_4,P18_5,P18_6,P18_7,P18_8,P18_OTRO,P19_1,P19_2,P19_3,P19_4,P19_5,P19_OTRO,P20,P21A,P21B,P21C,P21D,P21E,P21F,P21G,P21H,P22A,P22B,P22C,P22D,P22E,P22F,P22G,P22H,P22I,P22J,P22K,P22L,P23A,P23B,P23C,P23D,P23E,P23F,P23G,P23H,P23I,P23J,P23K,P23L,P24,P25A,P25B,P25C,P25D,P25E,P25F,P25G,P25H,P25I,P25J,P25K,P25L,P25M,P25N,P25O,P25P,P26A,P26B,P26C,P26D,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P27_OTRO,P28,P29_1,P29_2,P29_3,P30,P31,P31_OTRO,P32A,P32B,P32C,P32D,P32E,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_OTRO,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_9,P34_10,P34_OTRO,P35_1,P35_2,P35_3,P35_4,P35_5,P35_6,P35_7,P35_8,P35_9,P35_10,P35_OTRO,P36_1,P36_2,P36_3,P36_4,P36_OTRO,P36_97,P37A,P37B,P37C,P37D,P37E,P38_1,P38_2,P38_3,P38_4,P38_90,P39,P40,P41_1,P41_2,P41_3,P41_4,P41_OTRO,P42_1,P42_2,P42_3,P42_4,P42_5,P42_OTRO,P43,P44,P44A_1,P44A_2,P44A_3,P44A_4,P45,P46,P47,P48A,P48B,P48C,P49_1,P49_2,P49_3,P49_4,P50,P51,P51_OTRO,P52_1,P52_2,P52_3,P52_4,P52_90,P53,P54,P55,P56,P57A,P57B,P57C,P57D,P57E,P57F,P57G,P57H,P58,P59
001GDC_Clima_de_los_Negocios,1,5611,2,2,1,1,1,1,6,55,5,30,10,1,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,9,,,,,3,1,1,2,2,2,3,3,2,2,1,3,2,3,1,2,1,2,2,1,2,2,2,2,2,1,,,,,6,7,,,,,,,2,,,,6,7,,,,,1,,,,,,,,,,,,,1,,,,5,,,,1,1,,,,,,,,,,1,,,,,,3,4,2,2,4,2,3,4,4,3,3,3,2,1,2,3,2,3,3,2,1,3,3,3,2,2,2,3,2,2,2,3,2,30,3,3,4,3,3,4,4,4,4,2,2,4,3,3,3,3,4,4,4,4,1,,3,,,,,,,5,1,,,2,,,,,,,,,,,4,,,,,,3,4,,,,,9,,,,,3,,,6,,8,,,,1,2,,4,,,4,3,4,3,5,,,3,,,1,1,,,,,,,,,4,,,1,1,92,,,,4,2,1,1,1,1,2,,,,2,90,,,,,4,,2,3,3,1,2,2,1,2,2,2,2,2,1,1
001GDC_Clima_de_los_Negocios,2,2022,4,1,1,5,2,1,2,100,0,0,0,1,,,,,6,,8,,1,,,,5,6,,,2,,,5,6,,,,,,,,,,,,,,,,,3,2,3,3,1,2,2,2,2,2,3,1,2,2,2,2,1,2,3,1,1,1,2,1,1,,2,,4,,,,,9,,,,1,,,,,6,,,,10,,,,,,5,,7,,,10,,,,,2,,,5,,,,2,,,,3,,,,,8,,,,,,,,3,2,1,3,4,3,3,3,3,2,1,3,3,1,1,3,3,3,1,2,3,2,3,3,3,1,2,2,2,2,3,3,2,80,2,3,2,2,4,3,3,4,1,3,3,3,2,3,4,3,3,3,3,3,,,,,,,,8,,6,20,,,2,,,,,,,,1,,,,,6,,,,,,5,6,,,,10,,,,,4,,,,8,,10,,1,2,,4,,,3,2,4,4,4,,,,4,,3,1,,,,,,,,,4,,,1,1,118,,,,4,2,3,2,1,2,1,,,,2,90,,1,,,,,2,2,3,2,,,,,,,,,,
001GDC_Clima_de_los_Negocios,3,5611,2,3,1,4,1,3,7,100,0,0,0,1,2,,,,6,,,,,,,,,,93,1,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,11,,1,,,,,,7,,9,,,,,3,,,,,,,,,,,,,3,,,,,,1,1,,,,,,,,,,1,,,,,,3,2,3,3,3,2,3,3,3,3,3,3,3,1,2,3,2,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,3,3,2,3,3,4,3,3,3,3,3,3,2,2,2,3,3,3,3,,2,,,5,,,,,10,203,,,2,,,,,,,,,,,,,6,,,2,3,4,,,,,,,,,,3,,,,7,8,,,,1,2,3,,,,4,4,4,4,4,,2,,4,,1,1,,,,,,1,,,4,,,1,1,2,3,,,1,1,1,1,1,1,3,,,,1,90,,,2,,,,1,2,3,2,,,,,,,,,,
001GDC_Clima_de_los_Negocios,4,3110,4,1,1,1,1,1,2,100,0,0,0,1,,,4,,,7,,,1,2,,4,,,,,,3,4,,6,,,,,,,,,,,,,,,,,2,2,2,2,2,3,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,3,2,1,,,,,5,,,8,9,,,,,,3,,,,7,,9,,,,,,,5,,,8,,10,,,,,,,,5,,,,2,,,,,,,,,8,,,,,,,,2,4,3,3,4,5,4,4,3,2,3,1,2,3,3,3,3,3,3,3,3,2,2,2,2,1,2,2,1,2,2,2,2,0,4,4,3,3,2,5,4,5,3,4,3,4,3,3,4,4,4,4,3,3,1,2,3,,,,,,,3,8,,,2,,,,,,,,1,,,,,,,,,,4,5,6,,,,,,,,,,,,7,,9,10,,,2,3,4,,,3,3,3,5,4,,,,4,,92,2,,,,4,,,,,,,,1,2,,,,,,,,1,1,1,1,,,,2,90,,,,3,,,1,3,3,2,,,,,,,,,,
001GDC_Clima_de_los_Negocios,5,6201,2,1,1,1,1,1,3,90,0,10,0,1,2,3,,,,,,,,,,,,,,,,3,,5,6,,,,,,,,,,,,,,,,,3,1,3,1,1,3,2,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,,2,,,,,7,,9,,,,,,,,,,7,8,,10,,1,,,,5,,,8,,,,12,,1,,,,,,,,2,,,,,,,,,8,,,,,,,,2,4,4,4,4,3,5,3,3,1,3,2,1,1,1,3,1,2,3,3,1,1,3,1,1,1,2,3,2,2,2,2,1,0,4,4,4,4,1,4,5,4,2,2,2,3,5,2,4,2,4,3,5,5,,2,,,,,,,,10,93,,,1,2,,4,5,3,5,5,,,3,,,,,,2,,,,6,,,9,,,1,,,,5,,,,,10,,1,2,3,,,,2,3,2,2,4,,2,,,,2,2,1,,,,,,,,,,,2,,,,,,,,,1,1,2,1,,,,3,90,,,,3,,,2,2,2,1,1,2,2,2,2,1,2,2,2,
001GDC_Clima_de_los_Negocios,6,9603,4,2,1,5,1,2,2,0,0,0,100,1,,,,,6,,8,,,,,,,,,,,,,,,,,,,,3,,,,,,,,11,,,3,1,3,2,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,2,3,1,3,1,1,,2,,4,5,,,,,,,,,2,,,,6,7,,,,,,,3,,,,,,,,,,,1,,,,5,,,,2,,,,,,,,,8,,,,,,,,4,3,2,2,4,4,4,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,2,1,1,2,1,2,2,2,1,0,2,3,3,2,1,4,4,4,2,3,2,2,1,2,2,1,2,4,3,3,,,,,5,,,,,8,113,,,1,3,,3,1,4,3,3,,,,,,6,,1,,,,,,7,,9,,,1,,,,,,7,,9,,,1,,3,4,,,1,3,1,2,3,,,,4,,1,1,,,,,,,,3,4,,,1,1,110,,,,4,1,1,1,1,1,3,,,,2,90,,,,,4,,2,2,3,2,,,,,,,,,,
001GDC_Clima_de_los_Negocios,7,7730,4,1,1,1,1,1,4,80,18,2,0,1,,3,4,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,3,1,2,1,1,1,2,2,2,2,2,3,3,2,1,1,1,2,1,1,2,1,3,1,2,,,3,,5,,,,9,,,,,,,,5,,,8,,10,,1,,3,4,5,,,8,9,10,11,12,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,2,4,3,4,4,5,5,5,4,2,3,2,2,1,3,3,2,2,3,2,1,1,2,1,2,1,1,1,2,2,2,2,1,0,3,3,3,3,1,4,4,4,1,2,3,3,3,3,4,3,3,1,3,3,1,,,4,,,,,,10,201,,,1,9,,3,1,3,1,3,,,3,,,,,,2,3,4,,,,,,,,,,,4,,6,,8,,,,1,2,3,,,,3,2,3,4,5,,2,,,,92,2,,,,4,,,,,,,,1,2,,,,,,,,1,1,1,1,,,,3,90,,,2,,,,2,2,2,1,1,2,2,2,2,1,2,1,2,
001GDC_Clima_de_los_Negocios,8,6621,4,3,1,5,1,4,7,20,40,40,0,1,,,,,6,7,,,,,,,,,,,2,,4,5,,,,,,,,,,,,,,,,,,3,1,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,1,1,2,,2,3,4,,,,,,,,,1,,,,,,7,8,,,,,,,,5,,,8,,10,11,,,,,3,,,,,,1,1,,,,,,,,,,1,,,,,,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,1,2,2,2,2,2,1,2,1,2,2,0,3,3,3,3,3,4,3,3,2,2,3,3,3,3,3,3,4,4,3,3,,,,4,5,,7,,,5,14,,,2,,,,,,,,,,,,,6,,,2,,,,6,,,9,,,,,,,,,7,8,,10,,,2,3,4,,,3,3,4,3,4,,2,,,,1,2,1,2,,,,,,,,,,1,2,,,,,,,,1,1,1,1,,,,3,90,,,,3,,,2,3,3,2,,,,,,,,,,
001GDC_Clima_de_los_Negocios,9,1812,4,1,1,1,2,1,2,70,5,25,0,,2,3,,5,,,,,,,,,,,,1,,,4,,6,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,2,3,,,,,,,,,,,,,,,,7,8,9,,,,,3,,,,,,,,,12,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,2,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,3,2,2,3,3,2,2,0,2,3,1,3,3,4,3,3,1,2,1,2,2,3,1,1,4,4,5,4,,,,,,,,8,,10,214,,,2,,,,,,,,,,,4,,,,,,,4,5,,,,9,,,,2,3,,,,,8,,,,1,2,,4,,,3,1,3,1,3,,2,,,,1,1,,,,,,,,3,,,,1,1,4,1,,,1,1,1,1,1,2,2,,,,2,90,,1,,,,,2,2,3,2,,,,,,,,,,
001GDC_Clima_de_los_Negocios,10,4111,2,2,1,1,2,2,7,100,0,0,0,1,,,,,6,,8,,1,,,,5,6,,1,,,4,,6,,,,,,,,,,,,,,,,,3,1,3,1,3,2,2,1,3,3,3,2,2,3,1,1,1,2,1,1,1,1,1,1,2,,,,4,,6,,,9,,,,1,,3,,,6,,,,,,,,,,,,,,,,,12,,,,,,5,,,,2,,1,,,,,,,,,,,,,,,3,2,3,3,4,2,4,4,3,3,3,3,2,1,3,3,3,3,3,3,2,1,3,1,1,1,2,2,2,1,3,2,1,0,4,3,3,5,4,3,4,4,3,3,2,4,4,3,2,3,2,3,3,2,1,,,,,,,,,5,1,,,2,,,,,,,,,2,,,,,,,,,,,6,,8,9,,,,2,,,,,,8,9,,,1,2,,4,,,4,3,4,3,5,1,,,,,1,1,,,,,,1,,,,,,1,2,,,,,,,,1,1,2,1,,,,1,1,,,2,,,,2,3,3,2,,,,,,,,,,
