Id_encuesta	Id_encuestado	F1	F1.1	F2	F3	F4	P1	P2	P3	P4	P5	P6	P7.1	P7.2	P7.3	P7.4	P7.1.1	P7.1.2	p7.1.3	p7.1.4	P8.1	P8.2	P8.3	P8.4	P8.5	P8.6	P8.7	P8.8	P8.9	P9.1	P9.2	P9.3	P9.4	P9.5	P9.6	P9.7	P9.8	P10.1	P10.2	P10.3	P10.4	P10.5	P10.6	P10.7	P10.8	P10.9	P10.10	P11.1	P11.2	P11.3	P11.4	P11.5	P11.6	P11.7	P11.8	P11.9	P11.10	P11.11	P11.12	P12	P13.1	P13.2	P13.3	P13.4	P13.5	P13.6	P13.7	P13.8	P13.9	P13.10	P13.11	P13.12	P13.13	P14.1	P14.2	P14.3	P14.4	P14.5	P14.6	P14.7	P14.8	P14.9	P14.10	P14.11	P14.12	P14.13	P15.1	P15.2	P15.3	P15.4	P15.5	P15.6	P15.7	P15.8	P15.9	P15.10	P15.11	P16.1	P16.2	P16.3	P16.4	P16.5	P16.6	P16.7	P16.8	P16.9	P16.10	P16.11	P16.12	P16.13	P17	P18.1	P18.2	P18.3	P18.4	P18.5	P18.6	P18.7	P18.8	P18.9	P18.10	P18.11	P18.12	P18.13	P19	MÓDULO 3:  FUENTES DE FINANCIAMIENTO	P20.1	P20.2	P20.3	P20.4	P20.5	P20.6	P21	P22.1	P22.2	P22.3	P22.4	P22.5	P22.6	P22.7	P22.8	P22.9	P23	P24.1	P24.2	P24.3	P24.4	P24.5	P24.6	P24.7	P24.8	P24.9	P24.10	P25	P26.1	P26.2	P26.3	P26.4	P27.1	P27.2	P27.3	P27.4	P27.5	P27.6	P27.7	P27.8	P28	P29	P30.1	P30.2	P30.3	P30.4	P30.5	P31.1	P31.2	P31.3	P31.4	P31.5	P31.6	P32	P33.1	P33.2	P33.3	P33.4	P33.5	P33.6	P33.7	P33.8	P33.9	P33.10	P33.11	P33.12	P33.13	P33.14	P33.15	P34.1	P34.2	P34.3	P34.4	P34.5	P34.6	P34.7	P34.8	P34.9	P34.10	P34.11	P34.12	P34.13	P34.14	P34.15	P34.16	P35.1	P35.2	P35.3	P35.4	P35.5	P35.6	P35.7	P35.8	P35.9	P35.10	P35.11	P35.12	P36.1	P36.2	P36.3	P36.4	P36.5	P36.6	P36.7	P36.8	P36.9	P36.10	P36.11	P36.12	P37.1	P37.2	P37.3	P37.4	P37.5	P37.6	P37.7	P37.8	P37.9	P37.10	P37.11	P37.12	38.1	38.2	38.3	38.4	38.5	38.6	38.7	38.8	38.9	38.10	38.11	38.12	P39.1	P39.2	P39.3	P39.4	P39.5	P39.6	P40.1	P40.2	P40.3	P40.4	P40.5	P40.6	P41.1	P41.2	P41.3	P41.4	P42	P43	P44.1	P44.2	P44.3	P44.4	P45.1	P45.2	P45.3	P45.4	P45.5	P45.6	P46	P47	P47.A	P48	P49	P50	51.1	51.2	51.3	P52	P53	P54	P55.1	P55.2	P55.3	P55.4	P56	P57	P58	P59.1	P59.2	P59.3	P59.4	P59.5	P59.6	P59.7	P59.8	P59.9	P60	P61	P63	F.EXPANSIÓN
001GDC_Clima_de_los_Negocios	150225363	3	1	11001	3	4	2	37	5	1500	40	20	1		1		70	0	30	0			1		1				1											1							1													1	1		1	2	1	1	1		1	1	1	3		1		1	1	1	1	1		1	1	1	1				1	1			1									1			1			1			2						1				1		1		1		1		1				1										1	1		1								1	2	2	3	3	1	1	1						1	5	4	5	4	4	4			1				3	2	2	4	3	4	3	5	3	3	4	3	4	5	2	5	4	4	4	4	5	3	3	3	5	5	3	4	4	6	5	3	1	3	3	1	1	3	3	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1								1	1										1	1					5	4	4	5	5	5	5	5	5	5	4	5			1		1	1					1	1	1				1	1	99	3	1	1	1	1	1	3	2	2			1		3	1	2												1	35.52830189
001GDC_Clima_de_los_Negocios	150179733	3	1	11001	1	2	1	32	5	33	21	35	1	1			2	98	0	0	1	1					1				1												1																	0	3	3	2	3	3	4	3	3	3	3	3	3	3	1	1	1	1	1	4	1	1	1	1	1	2	3	1												1	1					1						2						1	1	1						1				1		1		1										1	1		1								2	2	3	4	3		1		1		1			2		1	1	1	1	2				1			3	3	3	3	4	4	4	3	3	3	2	3	4	4	3	1	4	3	4	3	1	3	4	4	1	2	1	3	2	2	4	3	3	3	3	2	2	2	3	2	3	3	3	2	2	3	3	2	2	3	3	2	3	3	3	2	1					1		1					1					1		1					5	5	5	5	5	5	5	5	5	5	5	2				1	1	1									1		1	1	1	5	2	3	1	1	1	2	2	4				1	2	3	2												1	23.20769231
001GDC_Clima_de_los_Negocios	151996437	1	1	11001	2	4	1	54	4	0	0	12	1				100	0	0	0		1	1				1			1											1																			0	3		3	3	3	4	3	3	3	3	4	3		3		3	3	4	4	3	3	3	3	4	3						1	1			1				1	1									1		1	1				1	1								3				1				1										1				1							2																										3	2	2	3	4	1	3	3	3	3	2	2	3	2	3	3	3	3	2	3	2	3	4	4	4	2	2	3	3	6	3	2	3	3	3	2	2	2	3	2	3	3	2	2	3	3	3	2	2	2	2	2	3	3	2	2		1					1		1					1					1		1				5	4	4	4	4	5	5	5	5	5	5	5				1	1	1										1	1	1	2	2	1	1	1	1	1	3	3	4				1	2	2	2	2	2	2	2	2	2	2	2	2		3		37.8
001GDC_Clima_de_los_Negocios	150250681	3	1	11001	1	2	1	54	4	7	10	3	1		1		60	0	40	0						1		1	1														1																	30	3	2	2	2	2	4	2	2	2	2	4	2	2	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1												1					1	1					2					1	1							1	1		1		1				2	1																					4	3	5	5	1					1			2		4	5	5	5	4	1						3	3	3	4	5	3	5	3	4	4	4	5	5	5	2	4	4	4	5	4	4	4	5	4	4	4	3	3	3	4	3	3	2	3	2	2	1	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1			1			1						1				1						1		1	3	5	5	5	5	5	4	4	4	4	4	4				1	1	2		1									1	1	3	3	2	1	1	1	1	1	1	4	1				2	3	2												1	23.20769231
001GDC_Clima_de_los_Negocios	150187440	3	1	11001	1	1	1	19	4	1	100	6	1	1	1		70	10	20	0	1					1	1													1																				70	2		2	3	2	4	1	2	2	3	2	1		2		1	2	2	2	1	1	1	2	1	2		1			1					1				1												2		1									1			1		1						2								1																																							3	4	3	3	4	2	2	4	3	3	3	3	4	4	2	3	4	3	3	3	2	3	4	4	4	3	3	4	4	3	2	2	1	3	3	2	2	3	3	2	2	3	3	1	2	3	1	2	2	2	2	2	2	2	2	1		1			1				1					1			1				1				4	5	3	3	4	5	5	5	4	4	3	4				1	2	2	1	1									1	2		1	2	2	1	1	1	2	1	2				1	3	3	1	1	2	2	2	2	2	2	2	2	1	3	1	65.81390135
001GDC_Clima_de_los_Negocios	151105696	4	1	11001	1	1	3	42	4	0	0	10			1		0	0	100	0							1														1																			0	2	1	1	2	2	2	1	1	1	1	3	2	3	3	1	2	2	3	2	1	3	2	2	3	1	3								1														1			2		1				1								3						1		2								1																																							5	3	3	2	2	1	1	1	5	1	1	1	1	5	5	5	1	3	3	3	5	2	1	2	5	1	1	2	1	2	2	1	3	3	3	2	2	3	3	2	2	3	3	3	3	3	3	3	3	1	3	3	2	3	3	3			1												1										5	5	1	1	1	5	5	5	5	5	5	5				1	2	1							1				1	2		4	1	1	2	2	2	4	1	2				1	2	3	1	1	1	1	2	1	1	2	1	2	1	3	1	65.81390135
001GDC_Clima_de_los_Negocios	153442231	3	1	11001	2	4	1	55	6	10	90	13			1		0	0	100	0			1	1		1															1																			100	1		1	2	1	4	1		1	2	1	1		1		1	1	2	2	1		1	2	2	1			1						1					1	1					1						3						1		1						1		1						2	1																					4	4	4	4					1				2		3	3	3	3	3					1		3	2	4	2	4	2	3	2	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	2	3	3	3	3	3	2	2	2	3	2	2	2	3	3	3	3	3	2	2			1					1											1	1					5	5	4	4	4	4	3	2	2	2	2	2				1	1	1								1			1	1	2	1	1	1	1	1	1	1	3	4	1				2	3	2											1		37.8
001GDC_Clima_de_los_Negocios	150227059	1	1	11001	2	2	2	45	6	210	70	35	1	1	1	1	50	5	30	15	1			1		1																						1			1							1		10	1		1	1	1	3	1	1	1	1	1	1		1		1	1	1	1	1	1	1	3	1	1		1	1	1									1	1	1											2						1		1			1			1		1						2	1				1																	4	5	5	5		1	1	1					1	4	5	2	5	5	5						1	2	5	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	4	4	5	5	5	3	5	4	5	4	4	5	5	1	3	3	1	1	3	1	1	1	3	2	1	1	3	1	1	1	3	1	1	2	2	2	1			1						1			1					1				1			1	5	4	4	4	4	4	4	5	4	4	4	5				1	1	1					1		1	1			1	1	4	2	1	1	1	1	1	4	1	3	1		1		1	3	2												1	31.98051948
001GDC_Clima_de_los_Negocios	151642971	3	1	11001	3	4	1	72	6	540	30	55			1		0	0	100	0		1							1										1																					0	2		1	2	2	4	2		2	2	2	1		2		1	1	4	1	1		1	3	2	2		1				1						1			1	1	1									2					1				1	1				1				1				1										1			1								2	2	4	4	3					1				2		5	1	5	3	3					1		2	4	4	4	4	4	4	4	4	3	3	4	4	4	4	5	5	4	5	5	5	5	5	5	5	5	4	4	5	4	4	4	2	2	3	2	2	3	3	2	3	3	3	2	2	3	1	2	2	3	2	2	2	3	2	2								1												1			1		5	5	4	4	4	5	5	5	4	4	4	4		1	1		2	1					1			1			1	1	18	2	1	1	1	1	1	2	2	4	1				2	3	2												1	35.52830189
001GDC_Clima_de_los_Negocios	152633783	1	1	11001	2	4	1	59	6	100	20	74	1				100	0	0	0	1		1	1						1											1																			1	1		1	2	2	4	1	1	1	2	2	1		2		2	2	2	4	2	2	2	2	2	2							1		1			1			1		1									2						1								2		1						1										1										1	2	5	5	5	3			1						2		5	4	2	4	5				1			2	4	4	3	3	3	4	3	3	3	3	3	4	3	1	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	3	2	3	3	3	2	3	3	3	3	3	3	2	3	3	3	2	2	3	3	2	3	3	3	2						1		1												1		1			4	3	3	3	3	3	5	4	4	4	4	4				1	1	1					1	1	1	1	1		1	1	7	4	1	1	1	1	2	1	2	4				1	2	3	2												1	37.8
