"ID_ENCUESTA" "ID_ENCUESTADO" "LOCALIDAD" "SEXO" "ESTRATO" "EDAD" "EDADRANGO" "P2" "P2_1" "P6" "P6_1" "P106" "P102" "P103" "P109" "P111" "P112" "P117" "P121" "P121_1_1" "P121_1_2" "P121_2" "P121_2_2" "P446" "P446_1" "P128" "P203" "P203_1_1" "P203_1_A" "P203_2" "P203_1_B" "P204_1" "P214_1" "P204_2" "P214_2" "P204_3" "P214_3" "P204_4" "P214_4" "P204_6" "P214_6" "P204_13" "P214_13" "P204_19" "P214_19" "P204_8" "P214_8" "P204_20" "P214_20" "P204_21" "P214_21" "P204_22" "P214_22" "P204_23" "P214_23" "P204_24" "P214_24" "P204_25" "P214_25" "P204_26" "P214_26" "P204_27" "P214_27" "P204_28" "P214_28" "P204_29" "P214_29" "P204_1_1" "P204_1_1_1" "P208_1" "P208_2" "P208_3" "P208_4" "P208_5" "P208_6" "P208_OTRO" "P208_OTRO_1" "P207" "P207_1" "P230" "P233" "P234_1" "P234_2" "P234_4" "P234_5" "P234_6" "P234_11" "P234_14" "P234_17" "P234_18" "P234_19" "P234_20" "P234_21" "P234_22" "P234_23" "P234_24" "P234_25" "P234_26" "P234_27" "P234_28" "P234_29" "P234_30" "P449" "P305" "P308" "P450_1" "P450_2" "P450_3" "P450_4" "P450_5" "P401_1_1" "P405" "P407_1" "P407_2" "P407_3" "P407_1_1" "P412_1" "P412_2" "P412_3" "P412_4" "P412_5" "P412_6" "P417" "P421" "P444" "FEX" "_UUID" "_INDEX"
"020SEG_Percepción_y_Victimización_en_Bogotá" "182915053" 4 1 1 41 3 3 NA 2 NA 4 2 2 1 2 6 1 1 1 8 1 5 2 3 1 1 1 1 2 NA 1 1 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 1 1 7 NA 0 0 1 0 0 0 1 "HERRAMIENTA DE TRABAJO" 1 NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 4 4 3 1 4 3 3 1 1 1 1 1 4 4 4 4 4 4 1 4 2 471.489788867562 "5ba378bb-0405-4718-b40b-ccc8ab88d146" 1830
"020SEG_Percepción_y_Victimización_en_Bogotá" "184039071" 5 1 1 71 6 1 NA 6 NA 4 2 2 1 5 8 7 2 NA NA NA NA 2 4 3 1 1 1 2 NA 1 1 2 NA 1 1 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 7 NA 1 0 0 1 0 0 1 "MALETA" 2 NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 1 1 2 1 1 2 2 1 2 NA NA NA NA NA NA NA NA NA NA 1 1 2 471.489788867562 "587271a5-1b42-419a-8785-624eb66debe5" 3407
"020SEG_Percepción_y_Victimización_en_Bogotá" "184116519" 5 1 1 64 5 1 NA 2 NA 4 2 2 7 3 NA 1 1 1 3 2 NA 2 1 5 1 2 NA 1 3 1 1 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 3 NA 0 1 1 0 0 0 0 NA 1 NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 1 4 2 1 3 3 3 3 1 1 1 1 1 5 5 5 5 5 5 1 5 1 471.489788867562 "8bbec0be-3e57-4193-9ee2-cbb42771eabf" 3586
"020SEG_Percepción_y_Victimización_en_Bogotá" "184113182" 5 1 1 63 5 1 NA 2 NA 4 2 2 2 5 8 7 1 1 3 1 20 2 5 5 1 1 3 1 2 1 2 2 NA 1 1 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 3 NA 0 1 0 0 0 0 0 NA 1 NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 2 NA 3 2 2 1 3 1 1 2 1 1 NA 4 4 4 4 4 4 1 4 1 471.489788867562 "a72bcb75-bf48-4588-8a54-e32c6bd5a983" 3569
"020SEG_Percepción_y_Victimización_en_Bogotá" "184520098" 5 1 1 28 2 1 NA 2 NA 4 2 2 1 2 8 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 7 NA 0 1 1 0 0 0 0 NA 2 NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 2 NA 2 2 2 2 2 3 1 1 1 1 2 4 4 4 4 4 4 1 4 1 471.489788867562 "54a443a6-5713-42ed-baee-d2f6af270b94" 4329
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215363" 4 1 1 76 6 1 NA 3 NA 4 2 2 1 2 8 3 1 1 10 2 NA 1 NA 3 1 1 3 2 NA 1 2 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 7 NA 0 0 1 0 0 0 0 NA 4 NA 2 1 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 NA 3 2 3 3 3 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "d644631f-3c9e-429a-ad5b-c47b04616a53" 2618
"020SEG_Percepción_y_Victimización_en_Bogotá" "183218468" 4 1 1 54 4 1 NA 3 NA 4 2 2 2 2 8 1 1 1 3 1 3 1 NA 4 1 1 1 2 NA 1 2 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 3 NA 1 1 0 0 0 0 0 NA 97 NA 1 1 1 1 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 1 1 5 2 NA 3 3 3 3 3 1 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "80fcc7bf-5ce6-4ce9-880d-a5620795189e" 2679
"020SEG_Percepción_y_Victimización_en_Bogotá" "184126782" 5 1 1 NA 1 3 NA 2 NA 4 2 2 1 3 NA 1 1 1 1 1 2 2 4 1 1 1 1 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 5 1 1 1 1 1 1 1 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "618797e2-7730-4e48-9dda-d753086b91c4" 3675
"020SEG_Percepción_y_Victimización_en_Bogotá" "184136450" 5 1 1 24 1 3 NA 2 NA 4 2 2 1 5 2 1 1 2 NA 1 2 2 5 3 1 1 1 2 NA 1 1 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 2 NA 7 NA 0 0 1 0 0 0 0 NA 4 NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 2 NA 1 1 1 2 1 1 1 2 2 1 NA NA NA NA NA NA NA 2 NA 1 471.489788867562 "4eb10cec-2ac7-4cff-bf3d-f7bf18680b2b" 3855
"020SEG_Percepción_y_Victimización_en_Bogotá" "183218467" 4 1 1 37 3 2 NA 1 NA 4 2 2 4 5 8 1 1 1 7 1 8 2 1 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 1 1 2 2 2 2 2 2 1 2 NA NA NA NA NA NA NA NA NA NA 2 NA 1 471.489788867562 "4b4f50ca-ad05-407a-897b-ba949b41250d" 2678
